Country,Agricultural Land( %),Land Area(Km2),Co2-Emissions,CPI,Currency-Code,GDP,Gross tertiary education enrollment (%),Maternal mortality ratio,Minimum wage,Official language,Population,Unemployment rate,Urban_population
Eswatini,,17364,,,,3791304348,,,,English,1093238,,
Ethiopia,0.363,1104300,14870,143.86,ETB,96107662398,0.081,401,,Amharic,112078730,0.0208,23788710
Fiji,0.233,18274,2046,132.3,FJD,5535548972,0.161,34,1.28,Fiji Hindi,889953,0.041,505048
Finland,0.075,338145,45871,112.33,EUR,2.69E+11,0.882,3,,Swedish,5520314,0.0659,4716888
France,0.524,643801,303276,110.05,EUR,2.72E+12,0.656,8,11.16,French,67059887,0.0843,54123364
Gabon,0.2,267667,5321,122.19,XAF,16657960228,0.083,252,1.46,French,2172579,0.2,1949694
The Gambia,0.598,11300,532,172.73,GMD,1763819048,0.027,597,0.13,English,2347706,0.0906,1453958
Georgia,0.345,69700,10128,133.61,GEL,17743195770,0.639,25,0.05,Georgian,3720382,0.144,2196476
Germany,0.477,357022,727973,112.85,EUR,3.85E+12,0.702,7,9.99,German,83132799,0.0304,64324835
Ghana,0.69,238533,16670,268.36,GHS,66983634224,0.157,308,0.27,English,30792608,0.0433,17249054
Greece,0.476,131957,62434,101.87,EUR,2.10E+11,1.366,3,4.46,Greek,10716322,0.1724,8507474
Grenada,0.235,349,268,107.43,XCD,1228170370,1.046,25,,English,112003,,40765
Guatemala,0.36,108889,16777,142.92,GTQ,76710385880,0.218,95,1.6,Spanish,16604026,0.0246,8540945
Guinea,0.59,245857,2996,262.95,GNF,13590281809,0.116,576,,French,12771246,0.043,4661505
Guinea-Bissau,0.58,36125,293,111.65,XOF,1340389411,0.026,667,0.16,Portuguese,1920922,0.0247,840922
Guyana,0.086,214969,2384,116.19,GYD,4280443645,0.116,169,0.98,English,782766,0.1185,208912
Haiti,0.668,27750,2978,179.29,HTG,8498981821,0.011,480,0.25,French,11263077,0.1378,6328948
Vatican City,,0,,,EUR,,,,,Italian,836,,
Honduras,0.289,112090,9813,150.34,HNL,25095395475,0.262,65,1.01,Spanish,9746117,0.0539,5626433
Hungary,0.584,93028,45537,121.64,HUF,1.61E+11,0.485,12,2.62,Hungarian,9769949,0.034,6999582
Iceland,0.187,103000,2065,129,ISK,24188035739,0.718,4,,Icelandic,361313,0.0284,339110
India,0.604,3287263,2407672,180.44,INR,2.61E+12,0.281,145,0.3,Hindi,1366417754,0.0536,471031528
Indonesia,0.315,1904569,563325,151.18,IDR,1.12E+12,0.363,177,0.48,Indonesian,270203917,0.0469,151509724
Iran,0.282,1648195,661710,550.93,IRR,4.45E+11,0.681,16,1.58,Persian,82913906,0.1138,62509623
Iraq,0.214,438317,190061,119.86,IQD,2.34E+11,0.162,79,1.24,Arabic,39309783,0.1282,27783368
Republic of Ireland,0.645,70273,37711,106.58,EUR,3.89E+11,0.778,5,10.79,Irish,5007069,0.0493,3133123
Israel,0.246,20770,65166,108.15,ILS,3.95E+11,0.634,3,7.58,Hebrew,9053300,0.0386,8374393
Italy,0.432,301340,320411,110.62,EUR,2.00E+12,0.619,2,,Italian,60297396,0.0989,42651966
Jamaica,0.41,10991,8225,162.47,JMD,16458071068,0.271,80,1.33,Jamaican English,2948279,0.08,1650594
Japan,0.123,377944,1135886,105.48,,5.08E+12,0.632,5,6.77,None,126226568,0.0229,115782416
Jordan,0.12,89342,25108,125.6,JOD,43743661972,0.344,46,1.49,Arabic,10101694,0.1472,9213048
Kazakhstan,0.804,2724900,247207,182.75,KZT,1.80E+11,0.617,10,0.41,Russian,18513930,0.0459,10652915
Kenya,0.485,580367,17910,180.51,KES,95503088538,0.115,342,0.25,Swahili,52573973,0.0264,14461523
Kiribati,0.42,811,66,99.55,AUD,194647202,,92,,English,117606,,64489
